Actebis_SKU	Mfr_SKU	Mfr_Name	Product_Group	Product_Text	Product_Description	Price	Stock_Qty	Stock_Date	Barcode	TaxKey
1608678	CM2X1024-6400	Corsair	Memory - Desktop - DDR2-800	CORSAIR DDR2 XMS2-6400 1GB	CORSAIR DDR2 XMS2-6400 1GB 240 DIMM Unbuffered 5-5-5-18 XMS2 with Classic Heat Spreader	163,40	0	12-09-16	0870584005698	
1608679	CM2X2048-6400C5	Corsair	Memory - Desktop - DDR2-800	CORSAIR DDR2 XMS2-6400 2GB	CORSAIR DDR2 XMS2-6400 2GB 240 DIMM Unbuffered 5-5-5-18 XMS2 with Classic Heat Spreader	239,70	0	12-09-16	0843591001809	
1608680	CM3X2GSD1066	Corsair	Memory - Notebook - DDR3-1066	CORSAIR DDR3 1066MHz 2GB 204 SODIMM	CORSAIR DDR3 1066MHz 2GB 204 SODIMM Unbuffered	106,10	0	09-09-16	0843591003797	
1608681	CM3X4GSD1066	Corsair	Memory - Notebook - DDR3-1066	CORSAIR DDR3 1066MHz 4GB 204 SODIMM	CORSAIR DDR3 1066MHz 4GB 204 SODIMM Unbuffered	174,20	9	01-09-16	0843591004046	
1608682	CM3X8GSDKIT1066	Corsair	Memory - Notebook - DDR3-1066	CORSAIR DDR3 1066MHz 8GB 2x204 SODIMM	CORSAIR DDR3 1066MHz 8GB 2x204 SODIMM Unbuffered	348,60	23	06-09-16	0843591004060	
1608709	CMFPLA16GB	Corsair	Memory - USB	CORSAIR USB 2.0 Flash Padlock 2 16GB	CORSAIR USB 2.0 Flash Padlock 2 16GB 256-bit AES Hardware Encrypted USB Flash Drive	354,52	13	06-09-16	0843591008976	
1608710	CMFPLA8GB	Corsair	Memory - USB	CORSAIR USB 2.0 Flash Padlock 2 8GB	CORSAIR USB 2.0 Flash Padlock 2 8GB 256-bit AES Hardware Encrypted USB Flash Drive	275,12	0	06-09-16	0843591007283	
1608723	CMFUSB2.0-16GB	Corsair	Memory - USB	CORSAIR USB 2.0 16GB Voyager	CORSAIR USB 2.0 16GB Compatible with Windows and Mac Formats Plug and Play	92,02	25	06-09-16	0870584008804	
1608727	CMFUSB2.0-8GB	Corsair	Memory - USB	CORSAIR USB 2.0 8GB Voyager	CORSAIR USB 2.0 8GB Compatible with Windows and Mac Formats Plug and Play	78,52	39	06-09-16	0870584007814	
1608738	CMP12GX3M3A1600C9	Corsair	Memory - Desktop - DDR3-1066	CORSAIR DDR3 1600MHz 12GB 3x240 DIMM	CORSAIR DDR3 1600MHz 12GB 3x240 DIMM Unbuffered 9-9-9-24 DOMINATOR with DHX+ Supports Intel Core i7 Extreme Edition with Connector	892,10	0	09-09-16	0843591009393	
1608746	CMP8GX3M2A1600C9	Corsair	Memory - Desktop - DDR3-1066	CORSAIR DDR3 1600MHz 8GB 2x240 DIMM	CORSAIR DDR3 1600MHz 8GB 2x240 DIMM Unbuffered 9-9-9-24 1.65V XMS3 DOMINATOR with DHX+ - Core i7 i5 and Core 2 with Connector	544,40	0	09-09-16	0843591008709	
1608768	CMSO2GX3M1A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 1333MHz 204 SODIMM	CORSAIR DDR3 1333MHz 204 SODIMM Unbuffered	106,10	0	09-09-16	0843591007139	
1608769	CMSO4GX3M1A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 1333MHz 4GB 204 SODIMM	CORSAIR DDR3 1333MHz 4GB 204 SODIMM Unbuffered	174,20	0	06-09-16	0843591007146	
1608770	CMSO4GX3M2A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 1333MHz 4GB 2x204 SODIMM	CORSAIR DDR3 1333MHz 4GB 2x204 SODIMM Unbuffered	212,30	0	09-09-16	0843591007115	
1608771	CMSO8GX3M2A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 1333MHZ 8GB 2x204 SODIMM	CORSAIR DDR3 1333MHZ 8GB 2x204 SODIMM Unbuffered	348,60	0	05-09-16	0843591007108	
1608781	CMV4GX3M2A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHz 4GB 2x240 DIMM	CORSAIR DDR3 1333MHz 4GB 2x240 DIMM Unbuffered	206,72	0	09-09-16	0843591006552	
1608785	CMX4GX3M2A1600C9	Corsair	Memory - Desktop - DDR3-1066	CORSAIR DDR3 1600MHz 4G 2x240DIMM	CORSAIR DDR3 1600MHz 4G 2x240DIMM Unbuffered 9-9-9-24 XMS3 with Classic Heat Spreader - Core i7 Core i5 and Core 2	234,50	0	08-09-16	0843591005975	
1608789	CMX6GX3M3A1600C9	Corsair	Memory - Desktop - DDR3-1066	CORSAIR DDR3 1600MHz 6GB 3x240 DIMM	CORSAIR DDR3 1600MHz 6GB 3x240 DIMM Unbuffered 9-9-9-24 XMS3 with Classic Heat Spreader Supports Core i7 Extreme Edition	359,20	0	09-09-16	0843591006002	
1608792	CMX8GX3M2A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHz 8GB 2x240 DIMM	CORSAIR DDR3 1333MHz 8GB KIT 2x4GB 240 DIMM Unbuffered 9-9-9-24 XMS3 with Classic Heat Spreader	370,30	0	05-09-16	0843591008693	
1608797	CMXAF2	Corsair	Chassis - Options - FAN	CORSAIR DOMINATOR Airflow Fan Support	CORSAIR DOMINATOR Airflow Fan Supports up to 6 Memory Modules in a Motherboard Array	241,00	0	31-08-16	0843591003872	
1608820	TW3X4G1333C9A	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHz 4GB 2x240 DIMM	CORSAIR DDR3 1333MHz 4GB 2x2GB 240 DIMM Unbuffered 9-9-9-24 XMS3 with Classic Heat Spreader	239,90	0	09-09-16	0843591005142	
1608821	TW3X4G1333C9DHX	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHz 4GB 2x240 DIMM	CORSAIR DDR3 1333MHz 4GB 2x240 DIMM Unbuffered 9-9-9-24 XMS3 with DHX - Core i7 Core i5 and Core 2 / AMD Phenom II - Dual Channel	631,00	0	09-09-16	0843591001427	
1608822	TWIN2X2048-6400	Corsair	Memory - Desktop - DDR2-800	CORSAIR DDR2 XMS2-6400 2GB 2x240 DIMM	CORSAIR DDR2 XMS2-6400 2GB 2x240 DIMM Unbuffered 5-5-5-18 Pair XMS2 with Classic Heat Spreader	261,50	0	09-09-16	0870584005704	
1608824	TWIN2X4096-6400C5C	Corsair	Memory - Desktop - DDR2-800	CORSAIR DDR2 XMS2-6400 4GB 2x240 DIMM	CORSAIR DDR2 XMS2-6400 4GB 2x240 DIMM Unbuffered 5-5-5-18 pair XMS2 with Classic Heat Spreader	479,00	0	09-09-16	0843591004503	
1608825	TWIN2X4096-6400C5DHX	Corsair	Memory - Desktop - DDR2-800	CORSAIR DDR2 XMS2-6400 4GB 2x240 DIMM	CORSAIR DDR2 XMS2-6400 4GB 2x240 DIMM Unbuffered 5-5-5-18 XMS2 with DHX	696,40	0	09-09-16	0870584008101	
1608829	TWIN3X2048-1333C9DHX	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHz 2GB 2x240 DIMM	CORSAIR DDR3 1333MHz 2GB 2x240 DIMM Unbuffered 9-9-9-24 XMS3 with DHX - Core i7 Core i5 and Core 2 / AMD Phenom II - Dual Channel	500,60	0	09-09-16	0843591000109	
1608830	VS1GB333	Corsair	Memory - Desktop - DDR333	CORSAIR DDR PC2700 1GB 184 DIMM	CORSAIR DDR PC2700 1GB 184 DIMM Unbuffered CL2.5	239,70	0	09-09-16	0870584002413	
1608831	VS1GB400C3	Corsair	Memory - Desktop - DDR400	CORSAIR DDR PC3200 1GB 184 DIMM	CORSAIR DDR PC3200 1GB 184 DIMM Unbuffered CL3	239,70	0	09-09-16	0870584003069	
1608832	VS1GB533D2	Corsair	Memory - Desktop - DDR2-533	CORSAIR DDR2 533 MHz 1GB 240 DIMM	CORSAIR DDR2 533 MHz 1GB 240 DIMM Unbuffered CL4	120,10	0	09-09-16	0870584003601	
1608833	VS1GB667D2	Corsair	Memory - Desktop - DDR2-667	CORSAIR DDR2 667 MHz 1GB 240 DIMM	CORSAIR DDR2 667 MHz 1GB 240 DIMM Unbuffered CL5	120,10	0	09-09-16	0870584005902	
1608837	VS1GSDS533D2	Corsair	Memory - Notebook - DDR2-533	CORSAIR DDR2 533 MHz 1GB 200 SODIMM	CORSAIR DDR2 533 MHz 1GB 200 SODIMM Unbuffered CL4	120,10	0	09-09-16	0870584005179	
1608838	VS1GSDS667D2	Corsair	Memory - Notebook - DDR2-667	CORSAIR DDR2 667 MHz 1GB 200 SODIMM	CORSAIR DDR2 667 MHz 1GB 200 SODIMM Unbuffered CL5	120,10	0	09-09-16	0870584006619	
1608840	VS2GB1333D3	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHz 2GB 240 DIMM	CORSAIR DDR3 1333MHz 2GB 240 DIMM Unbuffered	106,10	0	09-09-16	0843591005098	
1608841	VS2GB667D2	Corsair	Memory - Desktop - DDR2-667	CORSAIR DDR2 667 MHz 2GB 240 DIMM	CORSAIR DDR2 667 MHz 2GB 240 DIMM Unbuffered CL5	206,70	0	09-09-16	0843591000093	
1608842	VS2GB800D2	Corsair	Memory - Desktop - DDR2-800	CORSAIR DDR2 800 MHz 2GB 240 DIMM	CORSAIR DDR2 800 MHz 2GB 240 DIMM Unbuffered CL5	206,70	0	06-09-16	0843591004534	
1608843	VS2GBKIT400C3	Corsair	Memory - Desktop - DDR400	CORSAIR DDR PC3200 2GB 2x184 DIMM	CORSAIR DDR PC3200 2GB 2x184 DIMM Unbuffered CL3	479,00	0	09-09-16	0870584003090	
1608844	VS2GBKIT533D2	Corsair	Memory - Desktop - DDR2-533	CORSAIR DDR2 533 MHz 2GB 2x240 DIMM	CORSAIR DDR2 533 MHz 2GB 2x240 DIMM Unbuffered CL4	239,90	0	09-09-16	0870584003588	
1608845	VS2GBKIT667D2	Corsair	Memory - Desktop - DDR2-667	CORSAIR DDR2 667 MHz 2GB 2x240 DIMM	CORSAIR DDR2 667 MHz 2GB 2x240 DIMM Unbuffered CL5	239,90	0	09-09-16	0870584005919	
1608846	VS2GSDS667D2	Corsair	Memory - Notebook - DDR2-667	CORSAIR DDR2 667 MHz 2GB 200 SODIMM	CORSAIR DDR2 667 MHz 2GB 200 SODIMM Unbuffered CL5	206,70	0	09-09-16	0870584008910	
1608847	VS2GSDS800D2	Corsair	Memory - Notebook - DDR2-800	CORSAIR DDR2 800 MHz 2GB 200 SODIMM	CORSAIR DDR2 800 MHz 2GB 200 SODIMM Unbuffered CL5	206,70	0	09-09-16	0843591004091	
1608849	VS4GBKIT667D2	Corsair	Memory - Desktop - DDR2-667	CORSAIR DDR2 667 MHz 4GB 2x240 DIMM	CORSAIR DDR2 667 MHz 4GB 2x240 DIMM Unbuffered CL5	413,50	0	09-09-16	0843591001397	
1608850	VS4GBKIT800D2	Corsair	Memory - Desktop - DDR2-800	CORSAIR DDR2 800 MHz 4GB 2x240 DIMM	CORSAIR DDR2 800 MHz 4GB 2x240 DIMM Unbuffered CL5	413,50	0	12-09-16	0843591004541	
1608851	VS4GSDS800D2	Corsair	Memory - Notebook - DDR2-800	CORSAIR DDR2 800 MHz 4GB 200 SODIMM	CORSAIR DDR2 800 MHz 4GB 200 SODIMM Unbuffered CL5	653,00	0	09-09-16	0843591004107	
1608852	VS4GSDSKIT667D2	Corsair	Memory - Notebook - DDR2-667	CORSAIR DDR2 667 MHz 4GB 2x200 SODIMM	CORSAIR DDR2 667 MHz 4GB 2x200 SODIMM Unbuffered CL5	413,50	0	09-09-16	0843591000956	
1608853	VS4GSDSKIT800D2	Corsair	Memory - Notebook - DDR2-800	CORSAIR DDR2 800 MHz 4GB 2x200 SODIMM	CORSAIR DDR2 800 MHz 4GB 2x200 SODIMM Unbuffered CL5	413,50	0	09-09-16	0843591003261	
1608855	VS512MB400	Corsair	Memory - Desktop - DDR400	CORSAIR DDR PC3200 512MB 184 DIMM	CORSAIR DDR PC3200 512MB 184 DIMM Unbuffered CL2.5	160,70	0	09-09-16	0870584001300	
1608857	VS512SDS333	Corsair	Memory - Desktop - DDR333	CORSAIR DDR PC2700 512MB 200 SODIMM	CORSAIR DDR PC2700 512MB 200 SODIMM Unbuffered	160,70	0	09-09-16	0870584001867	
1608858	VS512SDS400	Corsair	Memory - Desktop - DDR400	CORSAIR DDR PC3200 512MB 200 SODIMM	CORSAIR DDR PC3200 512MB 200 SODIMM Unbuffered	160,70	0	05-09-16	0870584002833	
1608859	VS8GSDSKIT800D2	Corsair	Memory - Notebook - DDR2-800	CORSAIR DDR2 800 MHz 8GB 2x200 SODIMM	CORSAIR DDR2 800 MHz 8GB 2x200 SODIMM Unbuffered CL5	1306,20	0	09-09-16	0843591004114	
1608861	CMV4GX3M1A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHz 4GB 1X240 DIMM	CORSAIR DDR3 1333MHz 4GB 1X240 DIMM Unbuffered	174,20	0	09-09-16	0843591010061	
1609184	CMX4GX3M1A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHz 4GB	CORSAIR DDR3 1333MHz 4GB 1x240 DIMM Unbuffered  9-9-9-24 XMS3 with Classic Heat Spreader - Core i7 Core i5 and Core 2 / AMD Phenom I	185,00	0	09-09-16	0843591010276	
1609185	CMXAFPRO	Corsair	Chassis - Options - FAN	CORSAIR Airflow PRO	CORSAIR Airflow PRO Requires Dominators with prefixes CMT and CMP +  Airflow Fan. Airflow Fan CMXAF2 sold separately.	476,18	0	31-08-16	0843591008969	
1614218	CMX8GX3M2A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1333MHz 8GB 2x DIMM 1600MHz	Corsair XMS3 memory module 8GB kit (2x4GB) 1600MHz 9-9-9-27 1.65V for AMD and Intel Core i7, i5 and i3 Dual Channel processors and m	381,10	0	09-09-16	0843591010146	
1618288	CMX4GX3M1A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR XMS3 1x4GB 1600MHz 9-9-9-24	CORSAIR XMS3 DDR3 1600MHz CL9 1x4GB 1600MHz 9-9-9-24 for AMD and Intel Dual and Triple Channel processors and motherboards	195,90	0	06-09-16	0843591010344	
1627242	CMX2GX3M1A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR XMS3 1x2GB 1333MHz 9-9-9-24	CORSAIR XMS3 DDR3 1333MHz CL9 1x2GB 1333MHz 9-9-9-24 for AMD for Dual Channel platform	120,10	2	13-09-16	0843591011020	
1627767	CMZ16GX3M4A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHZ 16GB 4x4GB	CORSAIR DDR3 1600MHz 16GB 4x4GB DIMM Unbuffered 9-9-9-24 Vengeance Heatspreader Dual Channel 1.5V	783,30	0	09-09-16	0843591011372	
1627769	CMZ8GX3M2A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHZ 8GB 2x4GB	CORSAIR DDR3 1600MHz 8GB 2x4GB DIMM Unbuffered 9-9-9-24 Vengeance Heatspreader Dual Channel 1.5V	391,90	0	12-09-16	0843591010801	
1627840	CMZ4GX3M1A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHZ 4GB 1x4GB	CORSAIR DDR3 1600MHz 4GB 1x4GB DIMM Unbuffered 9-9-9-24 Vengeance Heatspreader Singel Channel 1.5V	195,90	0	12-09-16	0843591010894	
1627841	CMZ12GX3M3A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHZ 12GB 3x4GB	CORSAIR DDR3 1600MHZ 12GB 3x4GB 9-9-9-24 Vengeance Heatspreader Triple Channel 1.5V	587,50	0	09-09-16	0843591010863	
1628724	CMX12GX3M3A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHZ 12GB 3x4GB	CORSAIR DDR3 1333MHZ 12GB 3x4GB 9-9-9-24 Dual Channel 1.5V XMS3 Classic Heat Spreader Supports Core i7 Extreme Edition	555,10	0	09-09-16	0843591011174	
